分组,编号,简中标题,类型,来源
主线,AD-ST-1,唆使一场死亡,剧情,https://prts.wiki/w/红丝绒
主线,AD-TR-1,幕间曲,教程,https://prts.wiki/w/红丝绒
主线,AD-1,彩排日,战斗,https://prts.wiki/w/红丝绒
主线,AD-2,排演一出悲剧,战斗,https://prts.wiki/w/红丝绒
主线,AD-3,戏剧性,战斗,https://prts.wiki/w/红丝绒
主线,AD-4,一个荒唐的早晨,战斗,https://prts.wiki/w/红丝绒
主线,AD-ST-2,焦点,剧情,https://prts.wiki/w/红丝绒
主线,AD-5,终将重逢,战斗,https://prts.wiki/w/红丝绒
主线,AD-6,倒带独白,战斗,https://prts.wiki/w/红丝绒
主线,AD-7,“血钻”的歌声,战斗,https://prts.wiki/w/红丝绒
主线,AD-8,登台致礼,战斗,https://prts.wiki/w/红丝绒
主线,AD-ST-3,致观众,剧情,https://prts.wiki/w/红丝绒
EX,AD-EX-1,灰尘道具间,战斗,https://prts.wiki/w/红丝绒
EX,AD-EX-2,演员化妆间,战斗,https://prts.wiki/w/红丝绒
EX,AD-EX-3,摄影棚场区,战斗,https://prts.wiki/w/红丝绒
EX,AD-EX-4,外景拍摄区,战斗,https://prts.wiki/w/红丝绒
EX,AD-EX-5,电影放映房,战斗,https://prts.wiki/w/红丝绒
EX,AD-EX-6,自助移动酒吧,战斗,https://prts.wiki/w/红丝绒
EX,AD-EX-7,群演集合区,战斗,https://prts.wiki/w/红丝绒
EX,AD-EX-8,舞台与无尽的阶梯,战斗,https://prts.wiki/w/红丝绒
